CustomerId;CreditScore;Age;Tenure;EstimatedSalary;IsActiveMember;Exited
15634602;619;42;2;101348,88;SI ES;1
15647311;608;41;1;112542,58;SI ES;0
15619304;502;42;8;113931,57;NO ES;1
15701354;699;39;1;93826,63;NO ES;0
15737888;850;43;2;79084,1;SI ES;0
15574012;645;44;8;149756,71;NO ES;1
15592531;822;50;7;10062,8;SI ES;0
15656148;376;29;4;119346,88;NO ES;1
15792365;501;44;4;74940,5;SI ES;0
15592389;684;27;2;71725,73;SI ES;0
15767821;528;31;6;80181,12;NO ES;0
15737173;497;24;3;76390,01;NO ES;0
15632264;476;34;10;26260,98;NO ES;0
15691483;549;25;5;190857,79;NO ES;0
15600882;635;35;7;65951,65;SI ES;0
15643966;616;45;3;64327,26;SI ES;0
15737452;653;58;1;5097,67;NO ES;1
15788218;549;24;9;14406,41;SI ES;0
15661507;587;45;6;158684,81;NO ES;0
15568982;726;24;6;54724,03;SI ES;0
15577657;732;41;8;170886,17;SI ES;0
15597945;636;32;8;138555,46;NO ES;0
15699309;510;38;4;118913,53;NO ES;1
15725737;669;46;3;8487,75;SI ES;0
15625047;846;38;5;187616,16;SI ES;0
15738191;577;25;3;124508,29;SI ES;0
15736816;756;36;2;170041,95;SI ES;0
15700772;571;44;9;38433,35;NO ES;0
15728693;574;43;3;100187,43;SI ES;0
15656300;411;29;0;53483,21;SI ES;0
15589475;591;39;3;140469,38;NO ES;1
15706552;533;36;7;156731,91;SI ES;0
15750181;553;41;9;81898,81;NO ES;0
15659428;520;42;6;34410,55;SI ES;0
15732963;722;29;9;142033,07;SI ES;0
15794171;475;45;0;27822,99;NO ES;1
15788448;490;31;3;114066,77;SI ES;0
15729599;804;33;7;98453,45;SI ES;0
15717426;850;36;7;40812,9;SI ES;0
15585768;582;41;6;178074,04;SI ES;0
15619360;472;40;4;70154,22;NO ES;0
15738148;465;51;8;181297,65;NO ES;1
15687946;556;61;2;94153,83;SI ES;0
15755196;834;49;2;194365,76;NO ES;1
15684171;660;61;5;158338,39;SI ES;0
