CreditScore;Age;Tenure;EstimatedSalary;Exited
619;42;2;101348,88;1
608;41;1;112542,58;0
502;42;8;113931,57;1
699;39;1;93826,63;0
850;43;2;79084,1;0
645;44;8;149756,71;1
822;50;7;10062,8;0
376;29;4;119346,88;1
501;44;4;74940,5;0
684;27;2;71725,73;0
528;31;6;80181,12;0
497;24;3;76390,01;0
476;34;10;26260,98;0
549;25;5;190857,79;0
635;35;7;65951,65;0
616;45;3;64327,26;0
653;58;1;5097,67;1
549;24;9;14406,41;0
587;45;6;158684,81;0
726;24;6;54724,03;0
732;41;8;170886,17;0
636;32;8;138555,46;0
510;38;4;118913,53;1
669;46;3;8487,75;0
846;38;5;187616,16;0
577;25;3;124508,29;0
756;36;2;170041,95;0
571;44;9;38433,35;0
574;43;3;100187,43;0
411;29;0;53483,21;0
591;39;3;140469,38;1
533;36;7;156731,91;0
553;41;9;81898,81;0
520;42;6;34410,55;0
722;29;9;142033,07;0
475;45;0;27822,99;1
490;31;3;114066,77;0
804;33;7;98453,45;0
850;36;7;40812,9;0
582;41;6;178074,04;0
472;40;4;70154,22;0
465;51;8;181297,65;1
556;61;2;94153,83;0
834;49;2;194365,76;1
660;61;5;158338,39;0
776;32;4;126517,46;0
829;27;9;119708,21;1
637;39;9;117622,8;1
550;38;2;90878,13;0
776;37;2;194099,12;0
698;44;10;198059,16;0
585;36;5;86424,57;0
788;33;5;116978,19;0
655;41;8;164040,94;1
601;42;1;40014,76;1
619;43;1;113410,49;0
656;45;5;87107,57;0
725;19;0;45613,75;0
511;66;4;1643,11;1
614;51;4;46775,28;0
742;35;5;84509,57;0
687;27;9;126494,82;0
555;33;1;178798,13;0
684;56;8;99398,36;0
603;26;4;92840,67;0
751;36;6;27758,36;0
581;34;1;110431,51;0
735;43;10;196673,28;0
661;35;5;113656,85;0
675;21;8;18203,0;0
738;58;2;28373,86;1
813;29;6;33953,87;0
657;37;0;44203,55;0
604;25;5;58426,81;0
519;36;9;145562,4;0
735;21;1;22388,0;0
664;55;8;139161,64;0
678;32;9;148210,64;0
757;33;5;194239,63;0
416;41;10;98301,61;0
665;34;1;171413,66;0
777;32;2;136458,19;1
543;36;3;26019,59;0
506;34;4;159235,29;0
493;46;4;1907,66;0
652;75;10;114675,75;0
750;22;3;128643,35;1
729;30;9;151869,35;0
646;46;4;93251,42;1
635;28;3;156791,36;0
647;44;5;174205,22;1
808;45;7;147132,46;0
524;36;10;109614,57;0
769;29;8;172290,61;0
730;42;4;85982,47;0
515;35;10;121277,78;0
773;41;9;64595,25;0
814;29;8;197276,13;0
710;22;8;99645,04;0
413;34;9;6534,18;0
665;40;6;161848,03;0
623;44;6;167162,43;0
738;31;9;41970,72;0
528;36;7;60536,56;0
670;65;1;177655,68;1
622;46;4;30984,59;1
582;32;1;10054,53;0
785;36;2;36976,52;0
605;33;5;71862,79;0
479;35;9;99449,86;1
685;30;3;63082,88;0
538;39;7;27231,26;0
562;42;2;86797,41;0
675;36;9;22994,32;0
721;28;9;101300,94;1
628;30;9;74169,13;0
668;37;6;115638,29;0
506;41;1;31766,3;0
524;31;8;199725,39;1
699;34;4;120834,48;0
828;34;8;38131,77;0
674;39;6;100130,95;0
656;39;6;141069,88;0
684;48;10;198129,36;0
625;28;3;183646,41;0
432;42;9;110265,24;1
549;52;1;8636,05;1
625;56;0;46824,08;1
828;41;7;171378,77;0
770;24;9;167256,35;0
758;34;3;124226,16;0
795;33;9;114935,21;0
687;38;9;35608,88;0
686;25;1;16459,37;0
789;39;7;124411,08;0
589;50;5;34941,23;0
461;34;5;167784,28;0
637;40;2;93165,34;0
584;48;2;75161,25;1
579;35;1;8590,83;1
756;44;10;189543,9;0
663;34;7;180427,24;0
682;43;5;193318,33;0
793;52;2;159123,82;1
691;31;5;126213,84;1
485;21;5;54141,5;0
635;29;8;141075,51;0
650;37;5;24495,03;0
735;44;9;74836,34;0
416;32;0;878,87;0
754;32;7;89520,75;0
535;48;9;149892,79;1
716;42;8;180800,42;0
539;37;2;98646,22;0
614;43;6;109041,53;0
706;57;7;17941,16;1
758;33;7;82996,47;0
586;28;2;92067,35;0
646;73;6;104719,66;0
631;33;4;112687,57;0
717;22;6;84699,56;0
684;30;2;83473,82;0
800;49;7;47125,11;0
721;36;2;106977,8;0
683;29;0;55582,54;1
660;31;9;139874,43;0
704;24;7;162503,48;1
615;41;9;196499,96;0
667;39;2;40721,24;1
682;24;9;53134,3;0
484;29;4;164017,89;0
628;27;5;155996,96;0
480;44;10;5472,7;1
578;30;4;112187,11;0
512;40;5;146457,83;0
484;35;7;27286,1;0
510;30;0;130553,47;0
606;36;5;179351,89;0
597;40;8;94774,12;0
754;55;3;8080,85;1
850;45;2;19482,5;0
510;65;2;48071,61;0
778;45;1;174531,27;0
636;42;2;55470,78;0
804;50;4;8546,87;1
514;32;8;95857,18;0
730;39;1;194945,8;0
525;37;0;131521,72;0
616;30;5;196108,51;0
687;34;7;148564,76;0
715;41;8;92982,61;1
512;36;3;17675,36;0
479;40;1;114996,43;0
601;32;8;86957,42;0
580;29;9;128077,8;0
807;35;3;600,36;0
616;32;6;43001,46;0
721;37;3;158591,12;0
501;57;10;47847,19;0
521;35;6;10488,44;0
850;30;2;5978,2;0
759;42;4;121409,06;0
516;50;5;146145,93;1
711;38;2;14374,86;1
512;33;3;94670,77;0
550;37;3;179670,31;0
608;41;3;199304,74;1
618;34;5;151954,39;0
643;45;5;142513,5;1
671;45;2;158264,62;0
689;33;2;169381,9;0
603;31;8;169915,02;0
620;41;9;88852,47;0
676;34;1;40645,81;0
572;26;4;60427,3;0
668;47;7;157959,02;1
695;46;7;133007,34;0
730;33;9;176576,62;0
807;43;1;34888,04;1
