Temperature,Fuel_Price,CPI,Unemployment,High_Sales
42.31,2.572,211.0963582,8.106,1
38.51,2.548,211.2421698,8.106,1
39.93,2.514,211.2891429,8.106,1
46.63,2.561,211.3196429,8.106,1
46.5,2.625,211.3501429,8.106,1
57.79,2.667,211.3806429,8.106,1
54.58,2.72,211.215635,8.106,1
51.45,2.732,211.0180424,8.106,1
62.27,2.719,210.8204499,7.808,1
65.86,2.77,210.6228574,7.808,1
66.32,2.808,210.4887,7.808,1
64.84,2.795,210.4391228,7.808,1
67.41,2.78,210.3895456,7.808,1
72.55,2.835,210.3399684,7.808,1
74.78,2.854,210.3374261,7.808,1
76.44,2.826,210.6170934,7.808,1
80.44,2.759,210.8967606,7.808,1
80.69,2.705,211.1764278,7.808,1
80.43,2.668,211.4560951,7.808,1
84.11,2.637,211.4537719,7.808,1
84.34,2.653,211.3386526,7.808,1
80.91,2.669,211.2235333,7.787,1
80.48,2.642,211.108414,7.787,1
83.15,2.623,211.1003854,7.787,1
83.36,2.608,211.2351443,7.787,1
81.84,2.64,211.3699032,7.787,1
87.16,2.627,211.5046621,7.787,1
87.0,2.692,211.6394211,7.787,1
86.65,2.664,211.6033633,7.787,1
85.22,2.619,211.5673056,7.787,1
81.21,2.577,211.5312479,7.787,1
78.69,2.565,211.4951902,7.787,1
82.11,2.582,211.5224596,7.787,1
80.94,2.624,211.5972246,7.787,1
71.89,2.603,211.6719895,7.838,1
63.93,2.633,211.7467544,7.838,1
67.18,2.72,211.8137436,7.838,1
69.86,2.725,211.8612937,7.838,1
69.64,2.716,211.9088438,7.838,1
58.74,2.689,211.9563939,7.838,1
59.61,2.728,212.003944,7.838,1
51.41,2.771,211.8896737,7.838,1
64.52,2.735,211.7484333,7.838,1
49.27,2.708,211.607193,7.838,1
46.33,2.843,211.4659526,7.838,1
49.84,2.869,211.4053124,7.838,1
52.33,2.886,211.4051222,7.838,1
48.43,2.943,211.4049321,7.838,1
48.27,2.976,211.4047419,7.742,1
35.4,2.983,211.4574109,7.742,1
44.04,3.016,211.8272343,7.742,1
43.83,3.01,212.1970577,7.742,1
42.27,2.989,212.5668812,7.742,1
36.39,3.022,212.9367046,7.742,1
57.36,3.045,213.2478853,7.742,1
62.9,3.065,213.535609,7.742,1
59.58,3.288,213.8233327,7.742,1
53.56,3.459,214.1110564,7.742,1
62.76,3.488,214.3627114,7.742,1
69.97,3.473,214.5999389,7.742,1
59.17,3.524,214.8371664,7.682,1
67.84,3.622,215.0743939,7.682,1
71.27,3.743,215.2918561,7.682,1
72.99,3.807,215.4599053,7.682,1
72.03,3.81,215.6279544,7.682,1
64.61,3.906,215.7960035,7.682,1
75.64,3.899,215.9640526,7.682,1
67.63,3.907,215.7339202,7.682,1
77.72,3.786,215.5037878,7.682,1
83.0,3.699,215.2736553,7.682,1
83.13,3.648,215.0435229,7.682,1
86.41,3.637,214.9980596,7.682,1
83.58,3.594,215.0910982,7.682,1
85.55,3.524,215.1841368,7.962,1
85.83,3.48,215.2771754,7.962,1
88.54,3.575,215.3611087,7.962,1
85.77,3.651,215.4222784,7.962,1
86.83,3.682,215.4834482,7.962,1
91.65,3.684,215.544618,7.962,1
90.76,3.638,215.6057878,7.962,1
89.94,3.554,215.6693107,7.962,1
87.96,3.523,215.7332258,7.962,1
87.83,3.533,215.7971409,7.962,1
76.0,3.546,215.861056,7.962,1
79.94,3.526,216.0410526,7.962,1
75.8,3.467,216.3758246,7.962,1
79.69,3.355,216.7105965,7.962,1
69.31,3.285,217.0453684,7.866,1
71.74,3.274,217.3552733,7.866,1
63.71,3.353,217.5159762,7.866,1
66.57,3.372,217.6766791,7.866,1
54.98,3.332,217.837382,7.866,1
59.11,3.297,217.9980849,7.866,1
62.25,3.308,218.2205088,7.866,1
60.14,3.236,218.4676211,7.866,1
48.91,3.172,218.7147333,7.866,1
43.93,3.158,218.9618456,7.866,1
